PLAYERS,,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS
Q. Zheng,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
Z. Zhang,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
Z. Zhang,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
Z. Zhang,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
D. Reid,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
D. Reid,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
D. Reid,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Nicholson,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Nicholson,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Nicholson,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Powell,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Powell,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Powell,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
Q. Miller,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
Q. Miller,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
Q. Miller,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
W. Navarro,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
W. Navarro,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
W. Navarro,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
B. Enriquez,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
T. Williams,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
G. Smith,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
B. Amer,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
B. Amer,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
B. Amer,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
S. Enciso,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
S. Enciso,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
S. Enciso,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Arana,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Arana,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Arana,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Ambohot,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Ambohot,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
J. Ambohot,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
G. Mamuyac,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
G. Mamuyac,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
G. Mamuyac,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Mina,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Mina,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Mina,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
B. Ganuelas-Rosser,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
B. Ganuelas-Rosser,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
B. Ganuelas-Rosser,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Bulanadi,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Bulanadi,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
A. Bulanadi,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
R. Suerte,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
R. Suerte,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
R. Suerte,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Nieto,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Nieto,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Nieto,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Nieto,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Nieto,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
M. Nieto,,0,0.00,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0
