PLAYERS,,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS
J. Gabayni,,11,178.28,20,41,49%,0,0,0%,12,23,52%,5,3,5,16,29,45,37,11,-17,52
J. Gabayni,,11,178.28,20,41,49%,0,0,0%,12,23,52%,5,3,5,16,29,45,37,11,-17,52
J. Gomez De Liano,,10,109.55,18,37,49%,6,14,43%,5,7,71%,9,2,2,9,18,27,11,2,6,47
J. Gomez De Liano,,10,109.55,18,37,49%,6,14,43%,5,7,71%,9,2,2,9,18,27,11,2,6,47
J. Gomez De Liano,,10,109.55,18,37,49%,6,14,43%,5,7,71%,9,2,2,9,18,27,11,2,6,47
K. Ferrer,,6,126.67,10,32,31%,6,23,26%,2,7,29%,3,4,2,3,5,8,26,3,-51,28
K. Ferrer,,6,126.67,10,32,31%,6,23,26%,2,7,29%,3,4,2,3,5,8,26,3,-51,28
K. Ferrer,,6,126.67,10,32,31%,6,23,26%,2,7,29%,3,4,2,3,5,8,26,3,-51,28
D. Murrell,,9,97.73,16,27,59%,5,11,45%,0,0,0%,3,3,0,4,5,9,8,5,14,37
D. Murrell,,9,97.73,16,27,59%,5,11,45%,0,0,0%,3,3,0,4,5,9,8,5,14,37
D. Murrell,,9,97.73,16,27,59%,5,11,45%,0,0,0%,3,3,0,4,5,9,8,5,14,37
J. Calvo,,11,165.80,15,38,39%,1,4,25%,12,13,92%,35,8,0,8,13,21,10,7,-39,43
J. Calvo,,11,165.80,15,38,39%,1,4,25%,12,13,92%,35,8,0,8,13,21,10,7,-39,43
J. Calvo,,11,165.80,15,38,39%,1,4,25%,12,13,92%,35,8,0,8,13,21,10,7,-39,43
J. Alejandro,,11,112.40,12,40,30%,9,34,26%,6,7,86%,5,4,0,0,8,8,5,8,-24,39
M. Salado,,8,70.72,12,26,46%,1,6,17%,3,6,50%,14,7,1,5,4,9,6,4,30,28
M. Salado,,8,70.72,12,26,46%,1,6,17%,3,6,50%,14,7,1,5,4,9,6,4,30,28
M. Salado,,8,70.72,12,26,46%,1,6,17%,3,6,50%,14,7,1,5,4,9,6,4,30,28
A. Ramos,,11,177.88,16,44,36%,3,13,23%,3,6,50%,8,2,4,11,22,33,29,6,-26,38
A. Ramos,,11,177.88,16,44,36%,3,13,23%,3,6,50%,8,2,4,11,22,33,29,6,-26,38
A. Ramos,,11,177.88,16,44,36%,3,13,23%,3,6,50%,8,2,4,11,22,33,29,6,-26,38
V. Pessumal,,7,64.80,9,29,31%,6,19,32%,0,0,0%,3,2,0,2,5,7,10,0,14,24
V. Pessumal,,7,64.80,9,29,31%,6,19,32%,0,0,0%,3,2,0,2,5,7,10,0,14,24
V. Pessumal,,7,64.80,9,29,31%,6,19,32%,0,0,0%,3,2,0,2,5,7,10,0,14,24
C. Doliguez,,4,33.38,5,12,42%,2,7,29%,1,2,50%,2,2,0,2,6,8,3,4,7,13
J. Torralba,,10,92.58,10,31,32%,5,14,36%,6,8,75%,4,4,0,4,8,12,18,6,-39,31
M. Miranda,,6,74.62,7,21,33%,4,12,33%,0,0,0%,5,1,0,3,9,12,13,2,-22,18
M. Miranda,,6,74.62,7,21,33%,4,12,33%,0,0,0%,5,1,0,3,9,12,13,2,-22,18
M. Miranda,,6,74.62,7,21,33%,4,12,33%,0,0,0%,5,1,0,3,9,12,13,2,-22,18
P. Paniamogan,,2,6.28,2,6,33%,2,6,33%,0,0,0%,0,0,0,0,0,0,0,0,-11,6
P. Paniamogan,,2,6.28,2,6,33%,2,6,33%,0,0,0%,0,0,0,0,0,0,0,0,-11,6
P. Paniamogan,,2,6.28,2,6,33%,2,6,33%,0,0,0%,0,0,0,0,0,0,0,0,-11,6
C. Cruz,,3,19.17,3,9,33%,1,5,20%,2,3,67%,0,0,0,3,3,6,2,1,-23,9
C. Cruz,,3,19.17,3,9,33%,1,5,20%,2,3,67%,0,0,0,3,3,6,2,1,-23,9
C. Cruz,,3,19.17,3,9,33%,1,5,20%,2,3,67%,0,0,0,3,3,6,2,1,-23,9
R. Herndon,,1,11.52,1,5,20%,1,3,33%,0,0,0%,0,0,0,2,2,4,1,0,-5,3
R. Herndon,,1,11.52,1,5,20%,1,3,33%,0,0,0%,0,0,0,2,2,4,1,0,-5,3
R. Herndon,,1,11.52,1,5,20%,1,3,33%,0,0,0%,0,0,0,2,2,4,1,0,-5,3
J. Wong,,10,110.37,9,28,32%,6,21,29%,6,6,100%,5,5,0,0,6,6,11,1,27,30
J. Wong,,10,110.37,9,28,32%,6,21,29%,6,6,100%,5,5,0,0,6,6,11,1,27,30
J. Wong,,10,110.37,9,28,32%,6,21,29%,6,6,100%,5,5,0,0,6,6,11,1,27,30
A. Pasaol,,5,31.37,6,6,100%,3,3,100%,0,0,0%,0,0,0,1,6,7,6,3,-5,15
A. Pasaol,,5,31.37,6,6,100%,3,3,100%,0,0,0%,0,0,0,1,6,7,6,3,-5,15
A. Pasaol,,5,31.37,6,6,100%,3,3,100%,0,0,0%,0,0,0,1,6,7,6,3,-5,15
K. Montalbo,,10,97.40,8,26,31%,6,23,26%,7,9,78%,11,6,0,3,4,7,20,1,-18,29
K. Montalbo,,10,97.40,8,26,31%,6,23,26%,7,9,78%,11,6,0,3,4,7,20,1,-18,29
K. Montalbo,,10,97.40,8,26,31%,6,23,26%,7,9,78%,11,6,0,3,4,7,20,1,-18,29
K. Ebona,,8,98.98,9,21,43%,2,2,100%,2,2,100%,1,1,0,8,15,23,16,4,1,22
K. Ebona,,8,98.98,9,21,43%,2,2,100%,2,2,100%,1,1,0,8,15,23,16,4,1,22
K. Ebona,,8,98.98,9,21,43%,2,2,100%,2,2,100%,1,1,0,8,15,23,16,4,1,22
G. Alolino,,10,91.80,9,31,29%,5,17,29%,3,3,100%,9,2,0,0,12,12,11,2,-37,26
